run,duration,pings_per_s
1,20.955287218093872,47.720653484364966
2,20.713125467300415,48.27856624432122
3,21.78713607788086,45.898643879827716
4,20.824227571487427,48.02098884902708
5,22.10126280784607,45.246283377300706
6,22.178852796554565,45.08799481979283
7,22.58387804031372,44.27937479182865
8,22.46238684654236,44.518866442456016
9,23.030784845352173,43.42014424236217
10,23.39022922515869,42.75289439764845
11,23.338217973709106,42.84817294647418
12,22.2167911529541,45.0110006037948
13,21.665685176849365,46.15593699610014
14,22.01778268814087,45.41783403733093
15,21.882638454437256,45.698328475432305
16,21.507522106170654,46.495360788823426
17,21.638357877731323,46.21422779170917
18,23.035438537597656,43.41137236731283
19,22.916704893112183,43.63629084827805
20,23.853691577911377,41.922232319210686
21,22.99219846725464,43.49301357259048
22,22.27986216545105,44.88358108205358
23,23.821959257125854,41.97807532144403
24,23.16596555709839,43.166774013163696
25,23.299314975738525,42.91971678314558
26,22.743309497833252,43.96897470419904
27,23.649857759475708,42.28355240738534
28,22.674872159957886,44.101681938737656
29,23.764699935913086,42.079218449916354
30,22.862009286880493,43.74068733205599
